상품ID,상품명,분류,카테고리,가격,재고,상태,생성일자
P001,프리미엄 스킨케어 세트,뷰티,화장품,89000,150,판매중,2026-01-15
P002,주방용 믹서기,가전,주방가전,249000,45,판매중,2026-01-20
P003,캐시미어 터틀넥,의류,여성의류,79000,200,판매중,2026-02-01
P004,스마트 공기청정기,가전,생활가전,399000,30,판매중,2026-02-05
P005,유기농 올리브유 3종 세트,식품,식료품,45000,500,판매중,2026-02-10
P006,명품 핸드백,패션,액세서리,450000,15,품절,2026-02-15
P007,무선 이어폰,전자,음향기기,199000,80,판매중,2026-03-01
P008,침구류 5종 세트,홈데코,침구,125000,120,판매중,2026-03-05
P009,영양 비타민 세트,건강,영양제,65000,300,판매중,2026-03-10
P010,LED 스탠드,홈데코,조명,89000,90,판매중,2026-03-15
